categoria,perfil,quantidade,comprimento_total_m,massa_total_kg
Arruelas,chapa-10,40,0.00,24.0
Calhas,U300x200x5,2,40.00,1240.3
Chumbadores,barra-20,80,17.20,42.4
Colunas,HEA200,10,59.70,2392.4
Condutores,tubo-100x3,6,36.00,258.4
Contraventamento,barra-20,12,107.02,263.9
Escoras de beiral / cumeeira,HEA160,12,60.00,1735.2
Montantes de oitao,HEA160,4,24.77,716.2
Placas de base,chapa-40,10,0.00,777.1
Tapamento,trapez-0.65,4,0.00,1653.4
Telha de cobertura,trapez-0.65,2,0.00,1025.6
Tercas,Ue200x75x25x2.65,6,120.00,972.1
Tercas de parede,UPE100,5,79.10,749.8
Tirantes / maos-francesas,barra-16,40,135.72,214.1
Vergas,UPE100,1,0.90,8.5
Vigas,HEA180,10,50.25,1708.8
TOTAL,,,,13782.1

# Detalhe por elemento
nome,categoria,perfil,comprimento_mm,massa_kg
ARRUELA_D_01_a1,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_01_a2,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_01_b1,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_01_b2,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_02_a1,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_02_a2,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_02_b1,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_02_b2,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_03_a1,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_03_a2,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_03_b1,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_03_b2,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_04_a1,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_04_a2,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_04_b1,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_04_b2,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_05_a1,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_05_a2,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_05_b1,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_05_b2,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_01_a1,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_01_a2,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_01_b1,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_01_b2,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_02_a1,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_02_a2,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_02_b1,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_02_b2,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_03_a1,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_03_a2,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_03_b1,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_03_b2,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_04_a1,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_04_a2,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_04_b1,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_04_b2,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_05_a1,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_05_a2,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_05_b1,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_05_b2,Arruelas,chapa-10,0.0,0.6
CALHA_D,Calhas,U300x200x5,20000.0,620.15
CALHA_E,Calhas,U300x200x5,20000.0,620.15
CHUMBADOR_D_01_a1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_01_a2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_01_b1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_01_b2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_02_a1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_02_a2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_02_b1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_02_b2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_03_a1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_03_a2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_03_b1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_03_b2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_04_a1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_04_a2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_04_b1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_04_b2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_05_a1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_05_a2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_05_b1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_05_b2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_01_a1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_01_a2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_01_b1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_01_b2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_02_a1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_02_a2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_02_b1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_02_b2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_03_a1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_03_a2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_03_b1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_03_b2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_04_a1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_04_a2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_04_b1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_04_b2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_05_a1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_05_a2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_05_b1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_05_b2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_GANCHO_D_01_a1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_01_a2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_01_b1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_01_b2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_02_a1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_02_a2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_02_b1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_02_b2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_03_a1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_03_a2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_03_b1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_03_b2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_04_a1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_04_a2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_04_b1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_04_b2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_05_a1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_05_a2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_05_b1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_05_b2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_01_a1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_01_a2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_01_b1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_01_b2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_02_a1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_02_a2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_02_b1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_02_b2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_03_a1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_03_a2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_03_b1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_03_b2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_04_a1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_04_a2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_04_b1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_04_b2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_05_a1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_05_a2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_05_b1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_05_b2,Chumbadores,barra-20,60.0,0.15
CONDUTOR_D_00,Condutores,tubo-100x3,6000.0,43.06
CONDUTOR_D_10,Condutores,tubo-100x3,6000.0,43.06
CONDUTOR_D_20,Condutores,tubo-100x3,6000.0,43.06
CONDUTOR_E_00,Condutores,tubo-100x3,6000.0,43.06
CONDUTOR_E_10,Condutores,tubo-100x3,6000.0,43.06
CONDUTOR_E_20,Condutores,tubo-100x3,6000.0,43.06
CONTRAV_COBERTURA_01_A,Contraventamento,barra-20,11180.3,27.57
CONTRAV_COBERTURA_01_B,Contraventamento,barra-20,11180.3,27.57
CONTRAV_COBERTURA_02_A,Contraventamento,barra-20,11180.3,27.57
CONTRAV_COBERTURA_02_B,Contraventamento,barra-20,11180.3,27.57
CONTRAV_PAREDE_D_01_A,Contraventamento,barra-20,7787.2,19.2
CONTRAV_PAREDE_D_01_B,Contraventamento,barra-20,7787.2,19.2
CONTRAV_PAREDE_D_02_A,Contraventamento,barra-20,7787.2,19.2
CONTRAV_PAREDE_D_02_B,Contraventamento,barra-20,7787.2,19.2
CONTRAV_PAREDE_E_01_A,Contraventamento,barra-20,7787.2,19.2
CONTRAV_PAREDE_E_01_B,Contraventamento,barra-20,7787.2,19.2
CONTRAV_PAREDE_E_02_A,Contraventamento,barra-20,7787.2,19.2
CONTRAV_PAREDE_E_02_B,Contraventamento,barra-20,7787.2,19.2
MONTANTE_OITAO_FRENTE_01,Montantes de oitao,HEA160,6175.0,178.58
MONTANTE_OITAO_FRENTE_02,Montantes de oitao,HEA160,6175.0,178.58
MONTANTE_OITAO_FUNDO_01,Montantes de oitao,HEA160,6208.3,179.54
MONTANTE_OITAO_FUNDO_02,Montantes de oitao,HEA160,6208.3,179.54
PLACA_BASE_D_01,Placas de base,chapa-40,0.0,77.71
PLACA_BASE_D_02,Placas de base,chapa-40,0.0,77.71
PLACA_BASE_D_03,Placas de base,chapa-40,0.0,77.71
PLACA_BASE_D_04,Placas de base,chapa-40,0.0,77.71
PLACA_BASE_D_05,Placas de base,chapa-40,0.0,77.71
PLACA_BASE_E_01,Placas de base,chapa-40,0.0,77.71
PLACA_BASE_E_02,Placas de base,chapa-40,0.0,77.71
PLACA_BASE_E_03,Placas de base,chapa-40,0.0,77.71
PLACA_BASE_E_04,Placas de base,chapa-40,0.0,77.71
PLACA_BASE_E_05,Placas de base,chapa-40,0.0,77.71
PORTICO_01_COLUNA_D,Colunas,HEA200,5970.0,239.24
PORTICO_01_COLUNA_E,Colunas,HEA200,5970.0,239.24
PORTICO_01_VIGA_D,Vigas,HEA180,5024.9,170.88
PORTICO_01_VIGA_E,Vigas,HEA180,5024.9,170.88
PORTICO_02_COLUNA_D,Colunas,HEA200,5970.0,239.24
PORTICO_02_COLUNA_E,Colunas,HEA200,5970.0,239.24
PORTICO_02_VIGA_D,Vigas,HEA180,5024.9,170.88
PORTICO_02_VIGA_E,Vigas,HEA180,5024.9,170.88
PORTICO_03_COLUNA_D,Colunas,HEA200,5970.0,239.24
PORTICO_03_COLUNA_E,Colunas,HEA200,5970.0,239.24
PORTICO_03_VIGA_D,Vigas,HEA180,5024.9,170.88
PORTICO_03_VIGA_E,Vigas,HEA180,5024.9,170.88
PORTICO_04_COLUNA_D,Colunas,HEA200,5970.0,239.24
PORTICO_04_COLUNA_E,Colunas,HEA200,5970.0,239.24
PORTICO_04_VIGA_D,Vigas,HEA180,5024.9,170.88
PORTICO_04_VIGA_E,Vigas,HEA180,5024.9,170.88
PORTICO_05_COLUNA_D,Colunas,HEA200,5970.0,239.24
PORTICO_05_COLUNA_E,Colunas,HEA200,5970.0,239.24
PORTICO_05_VIGA_D,Vigas,HEA180,5024.9,170.88
PORTICO_05_VIGA_E,Vigas,HEA180,5024.9,170.88
TAPAMENTO_LATERAL_D,Tapamento,trapez-0.65,0.0,558.21
TAPAMENTO_LATERAL_E,Tapamento,trapez-0.65,0.0,548.57
TAPAMENTO_OITAO_FRENTE,Tapamento,trapez-0.65,0.0,229.2
TAPAMENTO_OITAO_FUNDO,Tapamento,trapez-0.65,0.0,317.38
TELHA_D,Telha de cobertura,trapez-0.65,0.0,512.79
TELHA_E,Telha de cobertura,trapez-0.65,0.0,512.79
TERCA_BEIRAL_D,Tercas,Ue200x75x25x2.65,20000.0,162.01
TERCA_BEIRAL_E,Tercas,Ue200x75x25x2.65,20000.0,162.01
TERCA_D_01,Tercas,Ue200x75x25x2.65,20000.0,162.01
TERCA_D_02,Tercas,Ue200x75x25x2.65,20000.0,162.01
TERCA_E_01,Tercas,Ue200x75x25x2.65,20000.0,162.01
TERCA_E_02,Tercas,Ue200x75x25x2.65,20000.0,162.01
TERCA_PAREDE_D_01,Tercas de parede,UPE100,20000.0,189.58
TERCA_PAREDE_D_02,Tercas de parede,UPE100,20000.0,189.58
TERCA_PAREDE_E_01a,Tercas de parede,UPE100,7300.0,69.2
TERCA_PAREDE_E_01b,Tercas de parede,UPE100,11800.0,111.85
TERCA_PAREDE_E_02,Tercas de parede,UPE100,20000.0,189.58
TIRANTE_D_VAO_01_00,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_D_VAO_01_01,Tirantes / maos-francesas,barra-16,1674.9,2.64
TIRANTE_D_VAO_01_02,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_D_VAO_02_00,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_D_VAO_02_01,Tirantes / maos-francesas,barra-16,1674.9,2.64
TIRANTE_D_VAO_02_02,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_D_VAO_03_00,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_D_VAO_03_01,Tirantes / maos-francesas,barra-16,1674.9,2.64
TIRANTE_D_VAO_03_02,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_D_VAO_04_00,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_D_VAO_04_01,Tirantes / maos-francesas,barra-16,1674.9,2.64
TIRANTE_D_VAO_04_02,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_E_VAO_01_00,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_E_VAO_01_01,Tirantes / maos-francesas,barra-16,1674.9,2.64
TIRANTE_E_VAO_01_02,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_E_VAO_02_00,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_E_VAO_02_01,Tirantes / maos-francesas,barra-16,1674.9,2.64
TIRANTE_E_VAO_02_02,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_E_VAO_03_00,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_E_VAO_03_01,Tirantes / maos-francesas,barra-16,1674.9,2.64
TIRANTE_E_VAO_03_02,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_E_VAO_04_00,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_E_VAO_04_01,Tirantes / maos-francesas,barra-16,1674.9,2.64
TIRANTE_E_VAO_04_02,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_PAREDE_D_01_01,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_D_01_02,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_D_02_01,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_D_02_02,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_D_03_01,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_D_03_02,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_D_04_01,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_D_04_02,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_E_01_01,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_E_01_02,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_E_02_01,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_E_02_02,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_E_03_01,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_E_03_02,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_E_04_01,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_E_04_02,Tirantes / maos-francesas,barra-16,5970.0,9.42
VAO_01_CUMEEIRA,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VAO_01_ESCORA_BEIRAL_D,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VAO_01_ESCORA_BEIRAL_E,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VAO_02_CUMEEIRA,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VAO_02_ESCORA_BEIRAL_D,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VAO_02_ESCORA_BEIRAL_E,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VAO_03_CUMEEIRA,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VAO_03_ESCORA_BEIRAL_D,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VAO_03_ESCORA_BEIRAL_E,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VAO_04_CUMEEIRA,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VAO_04_ESCORA_BEIRAL_D,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VAO_04_ESCORA_BEIRAL_E,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VERGA_PORTA_E,Vergas,UPE100,900.0,8.53
